split,partition,n_votes,n_posts,n_users,n_communities,avg_votes_per_user,median_votes_per_user,avg_votes_per_post,pct_users_ge_5_votes,pct_users_ge_10_votes,pct_users_ge_20_votes,pct_user_community_pairs_ge_5_votes,pct_user_community_pairs_ge_10_votes,pct_user_community_pairs_ge_20_votes,pct_label_approve,pct_label_remove
full,train,133271,51710,13446,203,9.911572214785066,3.0,2.57727712241346,0.3849471961921761,0.2100252863305072,0.10151717983043285,0.1961592836946277,0.09483977379830348,0.043669494187873074,0.7588667569135563,0.24113324308644363
full,val,28297,11080,7600,167,3.7232894736842104,2.0,2.5538808664259927,0.17539473684210527,0.06723684210526316,0.025526315789473685,0.10505836575875487,0.03919521685489229,0.015184587643541804,0.7584837545126354,0.2415162454873646
full,test,28062,11082,7342,164,3.822119313538545,2.0,2.5322144017325394,0.17256878234813403,0.07096159084718061,0.02778534459275402,0.10280557190504218,0.04237786933490288,0.01579360408083186,0.7597906515069482,0.24020934849305178
full,total,189630,73872,14925,213,12.705527638190954,4.0,2.5670077972709553,0.43463986599664994,0.25681742043551087,0.13293132328308208,0.21789896066307066,0.11287988422575977,0.05275621628733061,0.7589479098982023,0.2410520901017977
intersection,train,40769,3572,1902,13,21.434805467928495,13.0,11.413493840985442,0.9947423764458465,0.7202944269190326,0.29915878023133546,0.5190767781441357,0.2739048516250589,0.10668864813942534,0.8591825307950728,0.14081746920492721
intersection,val,8578,765,1759,13,4.876634451392837,3.0,11.213071895424836,0.3189312109152928,0.10289937464468447,0.029562251279135872,0.18489684702218762,0.05527442584663293,0.01518100428182172,0.8718954248366013,0.12810457516339868
intersection,test,8748,767,1777,12,4.92290377039955,3.0,11.405475880052151,0.32864378165447383,0.09848058525604952,0.031513787281935844,0.17593984962406015,0.05413533834586466,0.016165413533834588,0.8696219035202086,0.1303780964797914
intersection,total,58095,5104,1902,13,30.54416403785489,18.0,11.38224921630094,1.0,1.0,0.4637223974763407,0.5595393307257714,0.37831377661886134,0.15471534115601912,0.8626567398119123,0.13734326018808776
intersection_chronological,train,39988,3572,1848,13,21.638528138528137,14.0,11.19484882418813,0.9377705627705628,0.7635281385281385,0.329004329004329,0.5111111111111111,0.30246913580246915,0.11481481481481481,0.8572228443449048,0.1427771556550952
intersection_chronological,val,9201,766,1211,13,7.597853014037985,4.0,12.011749347258485,0.4797687861271676,0.21635012386457472,0.07597027250206441,0.29372427983539096,0.10133744855967078,0.03652263374485597,0.8694516971279374,0.13054830287206268
