split,method,n_items,n_test_items,score_coverage,n_fallback_items,auc_population,macro_f1,f1_pos,f1_neg,roc_auc,selected_lambda_y,moderator_aligned,learn_rho,cn_macro_f1,cn_f1_neg,delta_macro_f1_vs_cn,delta_f1_neg_vs_cn
full,CN,11082,11082,1.0,0,all_scored_test_items,0.5835183514882398,0.8078817733990148,0.3591549295774648,0.5745967929030197,,,,0.5835183514882398,0.3591549295774648,0.0,0.0
full,CN inductive,11082,11082,1.0,0,all_scored_test_items,0.5850671812082032,0.8117413632119514,0.35839299920445505,0.5577822650445882,0.0,False,False,0.5835183514882398,0.3591549295774648,0.001548829719963396,-0.000761930373009756
full,QSMF,11082,11082,1.0,0,all_scored_test_items,0.583996875921587,0.8026969481902059,0.365296803652968,0.562197354872214,0.0,False,True,0.5835183514882398,0.3591549295774648,0.00047852443334717165,0.006141874075503206
full,MA-MF,11082,11082,1.0,0,all_scored_test_items,0.6384956547355578,0.8139958692746933,0.4629954401964223,0.6945906449707415,10.0,True,False,0.5835183514882398,0.3591549295774648,0.05497730324731798,0.1038405106189575
full,MA-QSMF,11082,11082,1.0,0,all_scored_test_items,0.6410323551404462,0.8227188305074591,0.4593458797734332,0.6944545472391412,10.0,True,True,0.5835183514882398,0.3591549295774648,0.05751400365220638,0.10019095019596841
intersection,CN,767,767,1.0,0,all_scored_test_items,0.5423310159166285,0.906318082788671,0.17834394904458598,0.500839580209895,,,,0.5423310159166285,0.17834394904458598,0.0,0.0
intersection,CN inductive,767,767,1.0,0,all_scored_test_items,0.5303001552527169,0.8958944281524927,0.16470588235294117,0.517136431784108,0.0,False,False,0.5423310159166285,0.17834394904458598,-0.012030860663911569,-0.013638066691644801
intersection,QSMF,767,767,1.0,0,all_scored_test_items,0.5363480363480364,0.9105339105339105,0.16216216216216217,0.525352323838081,0.0,False,True,0.5423310159166285,0.17834394904458598,-0.005982979568592062,-0.016181786882423804
intersection,MA-MF,767,767,1.0,0,all_scored_test_items,0.6923931623931624,0.9061538461538462,0.47863247863247865,0.7777061469265367,10.0,True,False,0.5423310159166285,0.17834394904458598,0.15006214647653393,0.30028852958789265
intersection,MA-QSMF,767,767,1.0,0,all_scored_test_items,0.6702936514333306,0.9019908116385911,0.43859649122807015,0.7518890554722638,10.0,True,True,0.5423310159166285,0.17834394904458598,0.12796263551670217,0.26025254218348415
intersection_chronological,CN,766,766,1.0,0,all_scored_test_items,0.4652517159791037,0.8917937545388526,0.03870967741935484,0.3219047619047619,,,,0.4652517159791037,0.03870967741935484,0.0,0.0
intersection_chronological,CN inductive,766,766,1.0,0,all_scored_test_items,0.4872599583013278,0.912981455064194,0.06153846153846154,0.3734310134310134,0.0,False,False,0.4652517159791037,0.03870967741935484,0.022008242322224092,0.0228287841191067
intersection_chronological,QSMF,766,766,1.0,0,all_scored_test_items,0.4668382913806255,0.8942028985507247,0.039473684210526314,0.3792266992266992,0.0,False,True,0.4652517159791037,0.03870967741935484,0.0015865754015217948,0.0007640067911714732
intersection_chronological,MA-MF,766,766,1.0,0,all_scored_test_items,0.5331338652482269,0.8854166666666666,0.18085106382978725,0.5756613756613757,10.0,True,False,0.4652517159791037,0.03870967741935484,0.06788214926912323,0.1421413864104324
intersection_chronological,MA-QSMF,766,766,1.0,0,all_scored_test_items,0.5380476764829446,0.8637059724349158,0.21238938053097345,0.5785592185592185,10.0,True,True,0.4652517159791037,0.03870967741935484,0.0727959605038409,0.17367970311161862
